target,indicia,prelude,finale,quarter,equation,flag,source,comment
SGAI,,quarter,change,2,(sale_expense+administration_expense)/operating_revenue,盈余质量,financial_report_quarterly,
LVGI,,quarter,change,2,(longterm_loan+longterm_account_payable+total_current_liability)/total_assets,盈余质量,financial_report_quarterly,
TATAinc,,quarter,inc,2,TATAsum,盈余质量,NotInData,
TATA,,,,,(TATAinc-depreciation)/total_assets,盈余质量,financial_report_quarterly,
Mscore,key,,,,0.92*DSRI+0.528*GMI+0.404*AQI+0.892*SGI+0.115*DEPI-0.172*SGAI+4.679*TATA-0.327*LVGI-4.84,盈余质量,NotInData,>-2.22 存在利润操纵风险
X1,,year,,,OperatingCapital/total_assets,盈余质量,financial_report_quarterly,
X2,,year,,,(surplus_reserve_fund+retained_profit)/total_assets,盈余质量,financial_report_quarterly,
X3,,year,,,EBIT/total_assets,盈余质量,financial_report_quarterly,
X4,,year,,,market_cap/total_liability,盈余质量,mixed,
X5,,year,,,operating_revenue/total_assets,盈余质量,financial_report_quarterly,
Zscore,key,,,,1.2*X1+1.4*X2+3.3*X3+0.6*X4+0.999*X5,盈余质量,NotInData,<1.81 破产风险 >2.99 安全
NIMTA,,quarter,sum,2,net_profit/MTA,CHS,financial_report_quarterly,
FI,,,,,2**(-1/3),CHS,NotInData,
NIMTAAVG,,,decline_avg,10,NIMTA*(1-FI**3)/(1-FI**12),CHS,NotInData,
TLMTA,,quarter,,,total_liability/MTA,CHS,financial_report_quarterly,
CASHMTA,,quarter,,,cash_equivalents_at_end/MTA,CHS,financial_report_quarterly,
Index_ReturnMonthly,,,change,.4,close,CHS,ticks_daily,
Index_MarketSize,,,,,market_cap,CHS,ticks_daily,
Rmonthly,,,change,.4,close,CHS,ticks_daily,
EXERT,,,,,math.log10(1+Rmonthly)-math.log10(1+Index_ReturnMonthly),CHS,NotInData,
EXERTAVG,,,decline_avg,12,EXERT*(1-FI)/(1-FI**12),CHS,NotInData,
RSIZE,,,,,math.log10(market_cap/Index_MarketSize),CHS,ticks_daily,
MB,,,,,market_cap/total_owner_equities,CHS,mixed,
PRICE,,,,,math.log10(close),CHS,ticks_daily,
SIGMA,,,vix_yearly,1,change_rate,CHS,ticks_daily,
LPFD,key,,,,1.42*TLMTA-20.26*NIMTAAVG-7.13*EXERTAVG+1.41*SIGMA-0.045*RSIZE-2.13*CASHMTA+0.075*MB-0.058*PRICE-9.16,CHS,NotInData,
PFD,key,,,,1/(1+E**(-LPFD)),CHS,NotInData,
CELast4,,,sum,4,fix_intan_other_asset_acqui_cash,,financial_report_quarterly,
CELast16,,,sum,16,fix_intan_other_asset_acqui_cash,,financial_report_quarterly,
CI,key,,,,3*CELast4/(CELast16-CELast4)-1,,NotInData,
